,tweet_preprocessing,sentimen
844,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
845,kalo suka investasi reksadana sebenernya kalo uang investasi emas ga maâ ,negatif
846,kalo link shoopie tokped bukalapak dicantumkan yg beli gak ragu seller yg nipu ðÿ ðÿ ,positif
847,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
848,semenjak pandemi market karuan alias crash kesempatanku konsisten nabung reksâ ,negatif
849,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll,positif
850,cek perlengkapan butuhkan harganya terbaik ,positif
851,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ ,netral
852,hai kak maaf ya kendala kuyy bella bantu kak infoin nomor telepon email akun bukalapak kamâ ,positif
853,alhamadulillah nya saia koneksi intern d bukalapak yayyyyy,negatif
854,rt dipilih pemenang beruntung acak kasih saldo reksadana emas rp ribu ,positif
855,investasi reksadana mudah risiko kerugiannya suka investasi reksadana awalâ ,positif
856,kak kendala bukalapak tinggal colek mimin bella ya ðÿ jbt,positif
857,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,positif
858,kak ya kendala bukalapak hubungi bella ðÿ jbt,negatif
859,tampilan e com yg bikin pusing bukalapak zilingoooo ampun pusing bener cari barang,positif
860,notif bukalapak ngeri sehari puluhan kali,negatif
861,mbok kiro gojek toped bukalapak iku duduk garapane milenial a,negatif
862,transaksi okt clear no resinya resi sms tsb ,positif
863,permisi share ready stock tokyobike cari city bike kids bike more coming soon terima kasihâ ,negatif
864,hai kak maaf nyaman ya kak terkait pemberitahuan aplikasi bukalapak kamuâ ,positif
865,kak mohon maaf kakak transaksi hubungâ ,negatif
866,yg sms bukalapak ,negatif
867,terimakasih infonyaðÿ ðÿ ,positif
868,ketipu untung keburu curiga ikutin petunjuk pelapak teruâ ,positif
869,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â ,negatif
